algorithm,d,n_samples,mec_match_mean,shd_mean,cpdag_shd_mean,runtime_sec_mean,trials,actual_steps_mean,actual_steps_min,actual_steps_max,mask_keep_ratio_mean,mask_allowed_count_mean,mask_corr_allowed_count_mean,mask_corr_keep_ratio_mean,mask_corr_zero_count_mean,mask_corr_zero_ratio_mean,mask_glasso_allowed_count_mean,mask_glasso_keep_ratio_mean,mask_glasso_zero_count_mean,mask_glasso_zero_ratio_mean,mask_n_screens_mean,mask_overlap_all_count_mean,mask_overlap_all_jaccard_mean,mask_overlap_all_union_count_mean,mask_overlap_corr_pcorr_count_mean,mask_overlap_corr_pcorr_jaccard_mean,mask_overlap_corr_pcorr_overlap_ratio_mean,mask_overlap_corr_pcorr_union_count_mean,mask_pcorr_allowed_count_mean,mask_pcorr_keep_ratio_mean,mask_pcorr_zero_count_mean,mask_pcorr_zero_ratio_mean,mask_tau_mean,mask_total_offdiag_mean,mask_zero_count_mean,mask_zero_ratio_mean
baseline,30,20000,0.0,20.9,36.3,14.360337970010004,10,30829.5,18600,47895,1.0,870.0,,,,,,,,,1.0,,,,,,,,,,,,0.0,870.0,0.0,0.0
wf_corr+pcorr_tau0.02,30,20000,0.0,17.8,29.9,11.28678098001983,10,27760.5,15810,53940,0.26275862068965516,228.6,193.8,0.22275862068965518,676.2,0.7772413793103448,,,,,2.0,641.4,0.7937933335411478,807.0,641.4,0.7937933335411478,0.9480375590472582,807.0,97.8,0.11241379310344828,772.2,0.8875862068965518,0.02,870.0,641.4,0.7372413793103448
wf_corr+pcorr_tau0.05,30,20000,0.0,16.2,33.8,11.329761249991133,10,27900.0,15345,55335,0.25517241379310346,222.0,189.8,0.21816091954022987,680.2,0.7818390804597701,,,,,2.0,648.0,0.8005684972727478,808.4,648.0,0.8005684972727478,0.9521219365292526,808.4,93.8,0.107816091954023,776.2,0.892183908045977,0.05,870.0,648.0,0.7448275862068965
wf_corr+pcorr_tau0.1,30,20000,0.0,21.5,42.9,11.681444059987552,10,28690.5,13950,60915,0.24091954022988507,209.6,177.2,0.20367816091954025,692.8,0.7963218390804598,,,,,2.0,660.4,0.8139333940340772,810.4,660.4,0.8139333940340772,0.9527593302135171,810.4,92.0,0.10574712643678161,778.0,0.8942528735632184,0.1,870.0,660.4,0.759080459770115
wf_corr+pcorr_tau0.2,30,20000,0.0,19.0,36.1,11.758648119994906,10,28504.5,14880,71610,0.20620689655172414,179.4,152.0,0.17471264367816092,718.0,0.825287356321839,,,,,2.0,690.6,0.843960693481155,817.6,690.6,0.843960693481155,0.9616821714654382,817.6,79.8,0.09172413793103448,790.2,0.9082758620689655,0.2,870.0,690.6,0.7937931034482759
wf_corr_tau0.02,30,20000,0.0,15.7,25.4,11.41437722000992,10,27295.5,14415,60450,0.22275862068965518,193.8,193.8,0.22275862068965518,676.2,0.7772413793103448,,,,,1.0,,,,,,,,,,,,0.02,870.0,676.2,0.7772413793103448
wf_corr_tau0.05,30,20000,0.0,14.7,23.9,12.618682409985922,10,30597.0,14415,68820,0.21816091954022987,189.8,189.8,0.21816091954022987,680.2,0.7818390804597701,,,,,1.0,,,,,,,,,,,,0.05,870.0,680.2,0.7818390804597701
wf_corr_tau0.1,30,20000,0.0,13.1,23.3,13.055681760015432,10,31434.0,15345,67890,0.20367816091954025,177.2,177.2,0.20367816091954025,692.8,0.7963218390804598,,,,,1.0,,,,,,,,,,,,0.1,870.0,692.8,0.7963218390804598
wf_corr_tau0.2,30,20000,0.0,14.4,26.2,11.174482650007121,10,26830.5,18135,43245,0.17471264367816092,152.0,152.0,0.17471264367816092,718.0,0.825287356321839,,,,,1.0,,,,,,,,,,,,0.2,870.0,718.0,0.825287356321839
wf_glasso_tau0.02,30,20000,0.2,11.0,17.7,13.488457980006933,10,28876.5,14880,41850,0.14160919540229885,123.2,,,,,123.2,0.14160919540229885,746.8,0.8583908045977011,1.0,,,,,,,,,,,,0.02,870.0,746.8,0.8583908045977011
wf_glasso_tau0.05,30,20000,0.1,8.1,12.7,13.015191359980964,10,27435.0,14880,44175,0.11540229885057471,100.4,,,,,100.4,0.11540229885057471,769.6,0.8845977011494253,1.0,,,,,,,,,,,,0.05,870.0,769.6,0.8845977011494253
wf_glasso_tau0.1,30,20000,0.0,9.3,17.2,14.52710452999454,10,29946.0,14880,67425,0.1,87.0,,,,,87.0,0.1,783.0,0.9,1.0,,,,,,,,,,,,0.1,870.0,783.0,0.9
wf_glasso_tau0.2,30,20000,0.0,7.6,13.3,15.345347649988252,10,31620.0,13020,84630,0.07977011494252874,69.4,,,,,69.4,0.07977011494252874,800.6,0.9202298850574712,1.0,,,,,,,,,,,,0.2,870.0,800.6,0.9202298850574712
